#readname	haplotype
Sample11_m88888_231117_223025_s4/190516290/ccs/24358_26277	H2
Sample11_m88888_231120_235038_s1/81464735/ccs/11571_13488	none
Sample11_m88888_231117_223025_s4/84809206/ccs/14306_16225	H2
Sample11_m88888_231117_223025_s4/240064072/ccs/11397_13315	H1
Sample11_m88888_231120_235038_s1/15401693/ccs/4253_6169	H2
Sample11_m88888_231117_223025_s4/51187251/ccs/5926_7844	none
Sample11_m88888_231120_235038_s1/74516060/ccs/3004_4920	H2
Sample11_m88888_231117_223025_s4/162532830/ccs/1918_3836	H1
Sample11_m88888_231120_235038_s1/105386808/ccs/4851_6767	H2
Sample11_m88888_231120_235038_s1/22086648/ccs/67_1986	none
Sample11_m88888_231117_223025_s4/120917282/ccs/1591_3506	H2
Sample11_m88888_231117_223025_s4/134941172/ccs/18528_20445	H2
Sample11_m88888_231120_235038_s1/121441129/ccs/8770_10687	H1
Sample11_m88888_231120_235038_s1/166596514/ccs/6500_8417	H2
Sample11_m88888_231117_223025_s4/76089001/ccs/13290_15206	H2
Sample11_m88888_231120_235038_s1/100926684/ccs/1231_3148	H1
Sample11_m88888_231117_223025_s4/212207787/ccs/39_1954	none
Sample11_m88888_231117_223025_s4/229576120/ccs/8588_10504	H2
Sample11_m88888_231117_223025_s4/190256285/ccs/39_1955	H2
Sample11_m88888_231120_235038_s1/215683790/ccs/67_1983	H1
Sample11_m88888_231117_223025_s4/252249652/ccs/3114_5030	H2
Sample11_m88888_231117_223025_s4/221317572/ccs/39_1955	none
Sample11_m88888_231117_223025_s4/168625857/ccs/13685_15602	none
Sample11_m88888_231120_235038_s1/117705059/ccs/39_1954	H1
Sample11_m88888_231117_223025_s4/34148425/ccs/4517_6430	H2
Sample11_m88888_231120_235038_s1/152570506/ccs/9686_11601	none
