Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score
PB.59138.487	Patient2	0	0	0	0	0	0	0	0	0	1085		0.0		31.0		4369.538077403247		4418.789350323991	HARS1	0.0	71.0		0.0		115.3113710023031	5.486140690605428	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	4418.789350323991	2292.5320576869085	-1.927471127615292
PB.59138.526	Patient15	0	0	0	0	0	0	0	0	0	2573		0.0		23.5		0.0		1967.990913701071	HARS1	0.0	988.0		0.0		0.0	0.7900814608712654	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	1967.990913701071	4137.904950127479	-0.4756008021983302
PB.70308.12	Patient11	0	0	0	8	10	11	0	29	0	1367		21214.33796634967		31.0		59763.724808895066		66103.79118478937	VTA1	0.0	810.0		0.0358024691358024		5.97393326760625	2.872665168529361	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	66103.79118478937	26587.832262364933	-1.6883457355784774
PB.70308.15	Patient5	0	0	0	0	0	0	0	0	0	1596		0.0		31.0		1663.8935108153078		2160.3392508303905	VTA1	0.0	676.0		0.0		98.00965077410376	5.365870056881563	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	2160.3392508303905	1585.6889737159845	-1.362397851432202
PB.70308.18	Patient18	0	0	0	14	14	18	0	46	0	1387		33165.10454217736		31.0		52119.5274496178		53498.15672269605	VTA1	0.0	699.0		0.0658082975679542		1.19009934288311	2.2714890317633354	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	53498.15672269605	12198.719000430292	-1.666818637252114
PB.70308.21	Patient16	0	0	0	95	80	74	0	249	0	1271		195908.7332808812		31.0		280207.1346375144		283911.87846636825	VTA1	0.0	567.0		0.4391534391534391		0.6463158142552664	1.939956921787241	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	283911.87846636825	57023.01363157352	-1.5432917269872224
PB.70308.26	Patient21	0	0	0	0	0	0	0	0	0	1328		0.0		30.0		2927.400468384076		3201.7783566946323	VTA1	0.0	737.0		0.0		0.0	3.248367895521861	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3201.7783566946323	2207.5462473473685	-1.4503788360230063
PB.70308.26	Patient23	0	0	0	0	0	0	0	0	0	1159		0.0		30.0		2927.400468384076		3201.7783566946323	VTA1	0.0	581.0		0.0		0.0	3.248367895521861	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3201.7783566946323	2207.5462473473685	-1.4503788360230063
PB.70308.26	Patient28	0	0	0	0	0	0	0	0	0	1202		0.0		30.0		2927.400468384076		3201.7783566946323	VTA1	0.0	786.0		0.0		0.0	3.248367895521861	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3201.7783566946323	2207.5462473473685	-1.4503788360230063
PB.70308.42	Patient7	0	0	0	1	3	3	0	7	0	1726		4055.619930475087		31.0		12509.197939661515		13172.93256224263	VTA1	0.0	856.0		0.0081775700934579		1.5526198344749196	2.487085545205184	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	13172.93256224263	5972.344137788004	-1.526588626077457
