associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
SRSF6	Patient31	153	125	158385.09316770185	67276.64155005381	966	1858	14.0	16.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.2206957568951879	-22.348980315665212	0.2283502516163663						
SRSF6	Patient5	354	682	221804.51127819548	342197.69192172604	1596	1993	6.0	2.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.915468696026083	-14.119191650136766	0.5470270930991622	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient7	262	375	151796.06025492467	219941.34897360703	1726	1705	15.0	5.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.14851152848009094	-23.38736966071243	0.18814136531833783						
SRSF6	Patient8	217	262	159676.23252391466	222222.22222222222	1359	1179	12.0	4.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.23484045755738323	-22.150574989736654	0.2360329741223661						
VTA1	Patient1	1133	979	595688.7486855942	570180.5474665114	1902	1717	6.0	15.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.5942713230529777	-7.752762872784683	0.45745945387612647						
VTA1	Patient11	810	640	592538.405267008	287511.2309074573	1367	2226	7.0	31.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.5636371575742553	-7.898293131755971	0.43572763181417756						
VTA1	Patient12	1046	1180	584031.2674483529	588822.3552894212	1791	2004	11.0	12.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.4809131389325242	-8.295180465064135	0.3764610231579249						
VTA1	Patient13	1281	1283	577547.3399458972	514228.4569138276	2218	2495	13.0	20.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.417862962596064	-8.601579856119164	0.33070684740529954	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient14	693	1194	596899.2248062015	699063.2318501171	1161	1708	5.0	2.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.6060420797165065	-7.697049453712754	0.4657790577735732	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient19	725	912	589910.4963384866	589147.2868217054	1229	1548	9.0	11.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.538083182568106	-8.020282644991266	0.41751111509942196	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient2	1009	937	790133.1245105717	863594.470046083	1277	1085	1.0	1.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	2.4850623873816033	3.4543619872391815	2.1310031210535048	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient20	1110	862	587923.7288135594	495972.38204833143	1888	1738	10.0	23.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.5187637125803914	-8.112871166016214	0.40368500582073114						
