Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Cyclo_TPM_Median,Noncyclo_TPM_Median,Cyclo_TPM_Mean,Noncyclo_TPM_Mean,associated_gene
PB.59138.482,Patient18,0,0,988,1387,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient19,0,0,1229,1548,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient2,0,0,1277,1085,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient20,3,4,1888,1738,1588.9830508474577,2301.4959723820484,4.0,7.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient21,3,4,1417,1328,2117.148906139732,3012.0481927710844,2.0,3.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient22,0,1,1221,2106,0.0,474.8338081671415,22.0,11.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient23,1,0,665,1159,1503.7593984962407,0.0,5.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient24,4,4,1059,1661,3777.148253068933,2408.187838651415,1.0,5.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient25,1,6,1372,1946,728.862973760933,3083.247687564234,9.0,2.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient26,0,0,1690,1469,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient27,0,1,917,1439,0.0,694.9270326615705,22.0,9.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient28,1,1,1473,1202,678.8866259334691,831.9467554076539,11.0,8.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient29,1,0,1044,1857,957.8544061302681,0.0,8.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient3,2,10,1987,2019,1006.5425264217413,4952.947003467063,7.0,1.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient30,0,0,1658,1808,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient31,0,0,966,1858,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient4,3,4,1554,1450,1930.5019305019305,2758.620689655172,3.0,4.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient5,0,0,1596,1993,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient6,2,0,1602,1714,1248.4394506866417,0.0,6.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient7,0,0,1726,1705,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient8,0,0,1359,1179,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient9,0,0,1722,1493,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.483,Patient1,8,10,1902,1717,4206.098843322818,5824.111822947,22.0,17.0,5150.84621044886,5943.536404160475,6586.796792979133,7155.277762937373,HARS1
PB.59138.483,Patient10,6,8,1394,2180,4304.16068866571,3669.724770642202,21.0,24.0,5150.84621044886,5943.536404160475,6586.796792979133,7155.277762937373,HARS1
PB.59138.483,Patient11,8,11,1367,2226,5852.231163130944,4941.599281221923,12.0,20.0,5150.84621044886,5943.536404160475,6586.796792979133,7155.277762937373,HARS1
PB.59138.483,Patient12,6,5,1791,2004,3350.0837520938026,2495.0099800399203,24.0,28.0,5150.84621044886,5943.536404160475,6586.796792979133,7155.277762937373,HARS1
