Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.121	Patient28	11	0	1473	1202	7467.75288526816	0.0	1.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	299.0	165.0	0.03678929765886288	0.0	553.9135859123627	1460.129433249355	4.735086590214006	1.2980127621662612	2.9036927840101483						
PB.161551.121	Patient30	1	0	1658	1808	603.1363088057901	0.0	7.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	496.0	127.0	0.0020161290322580645	0.0	553.9135859123627	1460.129433249355	0.033711205166166505	-3.6279213645362534	1.8938983432779666						
PB.161551.121	Patient31	2	0	966	1858	2070.393374741201	0.0	3.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	153.0	125.0	0.013071895424836602	0.0	553.9135859123627	1460.129433249355	1.0385927126022534	-1.8502658060083377	2.258309773550135						
PB.161551.121	Patient4	1	0	1554	1450	643.5006435006435	0.0	6.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	197.0	100.0	0.005076142131979695	0.0	553.9135859123627	1460.129433249355	0.06135555899925584	-3.5346136611542724	1.9130260046979302						
PB.161551.166	Patient1	1	0	1902	1717	525.7623554153522	0.0	3.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	191.0	95.0	0.005235602094240838	0.0	284.10273841308265	1344.1685430548305	0.17978371704270119	-3.825643211787312	2.4939111482035696	1.0	1.0	1.0	1.0	1.0	
PB.161551.166	Patient19	1	0	1229	1548	813.6696501220504	0.0	2.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	74.0	31.0	0.013513513513513514	0.0	284.10273841308265	1344.1685430548305	0.39397359389578124	-3.196580297477434	2.6674346025444247	1.0	1.0	1.0	1.0	1.0	
PB.161551.166	Patient28	11	0	1473	1202	7467.75288526816	0.0	1.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	299.0	165.0	0.03678929765886288	0.0	284.10273841308265	1344.1685430548305	5.344307589976123	3.196580297477434	4.430951868237067						
PB.161551.18	Patient10	161	119	1394	2180	115494.97847919655	54587.15596330276	8.0	12.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	248.0	345.0	0.6491935483870968	0.34492753623188405	66146.65887260679	48072.14857024857	1.0265469939309309	-8.569455813513697	0.4089850868325039						
PB.161551.18	Patient11	122	132	1367	2226	89246.52523774689	59299.191374663074	13.0	11.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	299.0	1145.0	0.4080267558528428	0.11528384279475982	66146.65887260679	48072.14857024857	0.48052494120132594	-14.357883049315568	0.2886389368739354						
PB.161551.18	Patient12	183	145	1791	2004	102177.55443886097	72355.28942115768	10.0	8.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	223.0	348.0	0.820627802690583	0.4166666666666667	66146.65887260679	48072.14857024857	0.7495170621217747	-11.320046183637501	0.3517980569757388						
PB.161551.18	Patient13	265	226	2218	2495	119477.0063119928	90581.1623246493	6.0	2.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	387.0	696.0	0.6847545219638242	0.32471264367816094	66146.65887260679	48072.14857024857	1.1093813991162378	-7.80843478352633	0.4248073382430455						
PB.161551.18	Patient15	186	204	1376	2573	135174.41860465115	79284.88146132919	2.0	5.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	324.0	294.0	0.5740740740740741	0.6938775510204082	66146.65887260679	48072.14857024857	1.4359200032670274	-5.037029165853003	0.4824271341692406						
PB.161551.18	Patient18	67	50	988	1387	67813.76518218624	36049.02667627974	14.0	18.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	157.0	82.0	0.4267515923566879	0.6097560975609756	66146.65887260679	48072.14857024857	0.03467925522703202	-20.52375458753294	0.16044541028453482						
