associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
VTA1	Patient27	476	847	519083.9694656489	588603.1966643502	917	1439	18.0	13.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.30143971362848515	-10.549624016465616	0.30119756310284995						
VTA1	Patient28	851	786	577732.5186693822	653910.1497504159	1473	1202	12.0	4.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.9345204729151748	-7.654087657480329	0.7946228375102179	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient29	569	1270	545019.1570881226	683898.761443188	1044	1857	14.0	3.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	1.2252278503577247	-6.420115551066547	1.0049027130603325						
VTA1	Patient30	705	1148	425211.09770808206	634955.7522123894	1658	1808	29.0	5.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.7507779490619844	-8.46356341381547	0.6566809339467103	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient31	673	1178	696687.370600414	634015.0699677072	966	1858	2.0	6.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.7416590451540636	-8.504363554741964	0.649728225281857	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient4	920	891	592020.592020592	614482.7586206896	1554	1450	8.0	9.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.5523142677013811	-9.36549915641212	0.5029830223637506						
VTA1	Patient6	866	1080	540574.2821473158	630105.0175029171	1602	1714	15.0	7.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.7037552865757408	-8.674605239200666	0.6207175207162113						
VTA1	Patient9	1124	909	652729.3844367014	608841.259209645	1722	1493	3.0	10.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.4976259908504803	-9.619319466912444	0.4597297729372178						
novelGene_SRSF6_AS	Patient15	6	15	4360.46511627907	5829.770695685969	1376	2573	16.0	14.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.01008454594073738	-19.323645644066325	0.18127086924781677						
novelGene_SRSF6_AS	Patient17	9	14	9230.76923076923	11409.942950285247	975	1227	7.0	5.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	1.3009150132651972	-7.639481791704103	0.5676246708229586						
novelGene_SRSF6_AS	Patient18	21	12	21255.06072874494	8651.766402307137	988	1387	2.0	7.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.6628812465735948	-12.454526506073103	0.4084082430445471						
novelGene_SRSF6_AS	Patient19	6	22	4882.017900732303	14211.886304909562	1229	1548	12.0	2.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	1.949073113919762	-3.818399747838012	0.6939742832070499	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient2	3	9	2349.256068911511	8294.930875576038	1277	1085	20.0	8.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.5803364524861669	-13.187396543740393	0.3841748337316479						
novelGene_SRSF6_AS	Patient20	8	13	4237.28813559322	7479.861910241657	1888	1738	17.0	10.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.39179104467065196	-14.987069060190853	0.3246660552596339						
novelGene_SRSF6_AS	Patient21	4	8	2822.8652081863092	6024.096385542169	1417	1328	19.0	13.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.055036835871120425	-18.753130976888794	0.2001357630736469	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient23	7	14	10526.315789473683	12079.378774805868	665	1159	5.0	3.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	1.4557719099313273	-6.6473939633445935	0.6004294918462132						
novelGene_SRSF6_AS	Patient24	2	11	1888.5741265344666	6622.516556291391	1059	1661	23.0	12.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.1934660730739553	-17.105277130079784	0.254624437333908						
novelGene_SRSF6_AS	Patient26	18	26	10650.887573964497	17699.115044247785	1690	1469	4.0	1.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	2.755754502573507	3.818399747838012	0.946496119968612	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient27	21	11	22900.763358778626	7644.197359277276	917	1439	1.0	9.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.4298058576187257	-14.608928234990577	0.3371698293587408	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient30	16	21	9650.180940892642	11615.044247787611	1658	1808	6.0	4.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	1.348359965073919	-7.329473153823149	0.5778755554630456						
novelGene_SRSF6_AS	Patient31	3	18	3105.590062111801	9687.83638320775	966	1858	18.0	6.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.9025496002744112	-10.48643454266518	0.47348605447547876						
novelGene_SRSF6_AS	Patient9	2	11	1161.4401858304298	7367.716008037508	1722	1493	26.0	11.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5786.175889951817	4322.93193866539	0.3658489517126093	-15.24991942119076	0.31597452735049886						
