Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.121	Patient31	2	0	966	1858	2070.393374741201	0.0	3.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	153.0	125.0	0.013071895424836602	0.0	0.002070393374741201	0.0	1.0	0.0	1.0	121.36842796245614	2.3109239478329218						
PB.161551.121	Patient4	1	0	1554	1450	643.5006435006435	0.0	6.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	197.0	100.0	0.005076142131979695	0.0	0.0006435006435006435	0.0	1.0	0.0	1.0	87.10780631808186	1.6585822115609574						
PB.161551.166	Patient1	1	0	1902	1717	525.7623554153522	0.0	3.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	191.0	95.0	0.005235602094240838	0.0	0.0005257623554153522	0.0	1.0	0.0	1.0	81.76457159034882	2.256238597420825						
PB.161551.166	Patient19	1	0	1229	1548	813.6696501220504	0.0	2.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	74.0	31.0	0.013513513513513514	0.0	0.0008136696501220504	0.0	1.0	0.0	1.0	93.52739414924416	2.580825808676081	1.0	1.0	1.0	1.0	2.0	
PB.161551.166	Patient28	11	0	1473	1202	7467.75288526816	0.0	1.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	299.0	165.0	0.03678929765886288	0.0	0.00746775288526816	0.0	1.0	0.0	1.0	165.55320989076677	4.568329960240981	1.0	1.0	1.0	1.0	1.0	
PB.161551.18	Patient1	79	71	1902	1717	41535.226077812826	41351.1939429237	18.0	16.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	191.0	95.0	0.41361256544502617	0.7473684210526316	0.04153522607781283	0.041351193942923706	0.501110146480226	0.4988898535197739	0.0022202929604521193	0.09828570306213723	-0.7438251470564744						
PB.161551.18	Patient10	161	119	1394	2180	115494.97847919655	54587.15596330276	8.0	12.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	248.0	345.0	0.6491935483870968	0.34492753623188405	0.11549497847919656	0.054587155963302755	0.6790541455619058	0.3209458544380942	0.3581082911238116	18.182786140567266	0.9849363299078218						
PB.161551.18	Patient11	122	132	1367	2226	89246.52523774689	59299.191374663074	13.0	11.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	299.0	1145.0	0.4080267558528428	0.11528384279475982	0.08924652523774688	0.05929919137466307	0.6008017415312732	0.3991982584687268	0.20160348306254638	9.699175420042774	0.19743799638223233						
PB.161551.18	Patient12	183	145	1791	2004	102177.55443886097	72355.28942115768	10.0	8.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	223.0	348.0	0.820627802690583	0.4166666666666667	0.10217755443886097	0.07235528942115768	0.5854345358677068	0.4145654641322931	0.17086907173541366	8.285462888938648	0.06620893613842216						
PB.161551.18	Patient13	265	226	2218	2495	119477.0063119928	90581.1623246493	6.0	2.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	387.0	696.0	0.6847545219638242	0.32471264367816094	0.11947700631199279	0.0905811623246493	0.5687805767680651	0.4312194232319348	0.13756115353613035	6.737218185510828	-0.1275606296772491						
